Name,Wavelength
B008,426.82
B009,436.99
B010,447.17
B011,457.34
B012,467.52
B013,477.69
B014,487.87
B015,498.04
B016,508.22
B017,518.39
B018,528.57
B019,538.74
B020,548.92
B021,559.09
B022,569.27
B023,579.45
B024,589.62
B025,599.8
B026,609.97
B027,620.15
B028,630.32
B029,640.5
B030,650.67
B031,660.85
B032,671.02
B033,681.2
B034,691.37
B035,701.55
B036,711.72
B037,721.9
B038,732.07
B039,742.25
B040,752.43
B041,762.6
B042,772.78
B043,782.95
B044,793.13
B045,803.3
B046,813.48
B047,823.65
B048,833.83
B049,844
B050,854.18
B051,864.35
B052,874.53
B053,884.7
B054,894.88
B055,905.05
B056,915.23
B057,925.41
B077,912.45
B078,922.54
B079,932.64
B080,942.73
B081,952.82
B082,962.91
B083,972.99
B084,983.08
B085,993.17
B086,1003.3
B087,1013.3
B088,1023.4
B089,1033.49
B090,1043.59
B091,1053.69
B092,1063.79
B093,1073.89
B094,1083.99
B095,1094.09
B096,1104.19
B097,1114.19
B098,1124.28
B099,1134.38
B100,1144.48
B101,1154.58
B102,1164.68
B103,1174.77
B104,1184.87
B105,1194.97
B106,1205.07
B107,1215.17
B108,1225.17
B109,1235.27
B110,1245.36
B111,1255.46
B112,1265.56
B113,1275.66
B114,1285.76
B115,1295.86
B116,1305.96
B117,1316.05
B118,1326.05
B119,1336.15
B120,1346.25
B121,1356.35
B122,1366.45
B123,1376.55
B124,1386.65
B125,1396.74
B126,1406.84
B127,1416.94
B128,1426.94
B129,1437.04
B130,1447.14
B131,1457.23
B132,1467.33
B133,1477.43
B134,1487.53
B135,1497.63
B136,1507.73
B137,1517.83
B138,1527.92
B139,1537.92
B140,1548.02
B141,1558.12
B142,1568.22
B143,1578.32
B144,1588.42
B145,1598.51
B146,1608.61
B147,1618.71
B148,1628.81
B149,1638.81
B150,1648.9
B151,1659
B152,1669.1
B153,1679.2
B154,1689.3
B155,1699.4
B156,1709.5
B157,1719.6
B158,1729.7
B159,1739.7
B160,1749.79
B161,1759.89
B162,1769.99
B163,1780.09
B164,1790.19
B165,1800.29
B166,1810.38
B167,1820.48
B168,1830.58
B169,1840.58
B170,1850.68
B171,1860.78
B172,1870.87
B173,1880.98
B174,1891.07
B175,1901.17
B176,1911.27
B177,1921.37
B178,1931.47
B179,1941.57
B180,1951.57
B181,1961.66
B182,1971.76
B183,1981.86
B184,1991.96
B185,2002.06
B186,2012.15
B187,2022.25
B188,2032.35
B189,2042.45
B190,2052.45
B191,2062.55
B192,2072.65
B193,2082.75
B194,2092.84
B195,2102.94
B196,2113.04
B197,2123.14
B198,2133.24
B199,2143.34
B200,2153.34
B201,2163.43
B202,2173.53
B203,2183.63
B204,2193.73
B205,2203.83
B206,2213.93
B207,2224.03
B208,2234.12
B209,2244.22
B210,2254.22
B211,2264.32
B212,2274.42
B213,2284.52
B214,2294.61
B215,2304.71
B216,2314.81
B217,2324.91
B218,2335.01
B219,2345.11
B220,2355.21
B221,2365.2
B222,2375.3
B223,2385.4
B224,2395.5
